sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,646.0,290.0,653.0,658.0
1,5,650.0,265.0,649.0,629.0
2,10,644.0,266.0,642.0,654.0
3,15,650.0,300.0,641.0,645.0
4,20,640.0,243.0,639.0,651.0
5,25,647.0,300.0,632.0,646.0
6,30,640.0,252.0,663.0,649.0
7,35,645.0,254.0,645.0,649.0
8,40,650.0,302.0,650.0,651.0
9,45,646.0,236.0,651.0,648.0
10,50,646.0,294.0,644.0,657.0
11,55,651.0,241.0,631.0,644.0
12,60,641.0,259.0,657.0,649.0
13,65,648.0,290.0,649.0,647.0
14,70,646.0,236.0,638.0,648.0
15,75,646.0,301.0,636.0,661.0
16,80,640.0,253.0,641.0,645.0
17,85,644.0,255.0,640.0,645.0
18,90,648.0,295.0,639.0,642.0
19,95,645.0,241.0,646.0,644.0
20,100,643.0,286.0,641.0,650.0
21,105,648.0,260.0,646.0,638.0
22,110,652.0,245.0,655.0,644.0
23,115,647.0,288.0,643.0,639.0
24,120,639.0,241.0,650.0,647.0
25,125,642.0,311.0,641.0,648.0
26,130,648.0,242.0,650.0,644.0
27,135,663.0,253.0,647.0,647.0
28,140,648.0,297.0,644.0,655.0
29,145,646.0,223.0,649.0,643.0
30,150,639.0,294.0,642.0,653.0
31,155,646.0,247.0,637.0,646.0
32,160,638.0,246.0,655.0,645.0
33,165,649.0,303.0,651.0,642.0
34,170,652.0,236.0,637.0,642.0
35,175,646.0,309.0,639.0,640.0
36,180,644.0,246.0,656.0,652.0
37,185,648.0,253.0,651.0,641.0
38,190,643.0,302.0,646.0,646.0
39,195,642.0,241.0,645.0,650.0
40,200,643.0,326.0,651.0,647.0
41,205,648.0,240.0,647.0,654.0
42,210,646.0,230.0,655.0,644.0
43,215,646.0,287.0,640.0,637.0
44,220,650.0,227.0,648.0,647.0
45,225,645.0,304.0,649.0,644.0
46,230,652.0,219.0,653.0,646.0
47,235,647.0,259.0,648.0,651.0
48,240,647.0,292.0,648.0,657.0
49,245,649.0,249.0,640.0,656.0
50,250,646.0,302.0,637.0,641.0
51,255,644.0,240.0,645.0,657.0
52,260,644.0,251.0,647.0,646.0
53,265,642.0,287.0,644.0,649.0
54,270,643.0,231.0,634.0,646.0
55,275,649.0,288.0,638.0,649.0
56,280,650.0,241.0,637.0,645.0
57,285,637.0,288.0,646.0,637.0
58,290,647.0,287.0,639.0,641.0
59,295,649.0,237.0,646.0,642.0
60,300,652.0,298.0,642.0,647.0
61,305,654.0,226.0,644.0,652.0
62,310,646.0,269.0,655.0,647.0
63,315,647.0,272.0,641.0,639.0
64,320,650.0,247.0,646.0,641.0
65,325,639.0,303.0,652.0,649.0
66,330,651.0,237.0,649.0,658.0
67,335,650.0,255.0,646.0,656.0
68,340,653.0,293.0,646.0,646.0
69,345,647.0,250.0,645.0,645.0
70,350,650.0,320.0,638.0,651.0
71,355,649.0,251.0,650.0,642.0
72,360,656.0,249.0,645.0,638.0
73,365,646.0,277.0,646.0,640.0
74,370,637.0,243.0,646.0,640.0
75,375,648.0,311.0,642.0,646.0
76,380,645.0,241.0,648.0,647.0
77,385,646.0,248.0,649.0,644.0
78,390,651.0,287.0,641.0,642.0
79,395,647.0,236.0,628.0,648.0
80,400,644.0,326.0,644.0,641.0
81,405,649.0,243.0,642.0,654.0
82,410,648.0,256.0,644.0,626.0
83,415,639.0,284.0,655.0,658.0
84,420,642.0,238.0,653.0,646.0
85,425,649.0,306.0,642.0,632.0
86,430,645.0,214.0,644.0,642.0
87,435,659.0,257.0,648.0,655.0
88,440,649.0,293.0,658.0,634.0
89,445,638.0,244.0,640.0,648.0
90,450,653.0,308.0,627.0,639.0
91,455,649.0,229.0,665.0,641.0
92,460,643.0,262.0,655.0,632.0
93,465,652.0,271.0,637.0,649.0
94,470,648.0,257.0,650.0,642.0
95,475,642.0,292.0,639.0,639.0
96,480,649.0,259.0,645.0,642.0
97,485,647.0,257.0,654.0,649.0
98,490,644.0,268.0,642.0,649.0
99,495,648.0,248.0,649.0,650.0
100,500,648.0,338.0,611.0,668.0
101,505,655.0,231.0,638.0,652.0
102,510,645.0,256.0,655.0,650.0
103,515,643.0,275.0,642.0,649.0
104,520,645.0,248.0,666.0,648.0
105,525,650.0,311.0,637.0,629.0
106,530,648.0,241.0,645.0,642.0
107,535,649.0,279.0,661.0,646.0
108,540,655.0,270.0,639.0,656.0
109,545,649.0,244.0,652.0,643.0
110,550,652.0,310.0,651.0,655.0
111,555,650.0,226.0,653.0,649.0
112,560,652.0,261.0,649.0,645.0
113,565,651.0,281.0,643.0,646.0
114,570,640.0,243.0,650.0,644.0
115,575,654.0,332.0,643.0,647.0
116,580,651.0,247.0,634.0,650.0
117,585,647.0,256.0,636.0,647.0
118,590,656.0,272.0,659.0,651.0
119,595,646.0,258.0,649.0,647.0
120,600,642.0,314.0,645.0,646.0
121,605,646.0,247.0,647.0,653.0
122,610,649.0,260.0,655.0,658.0
123,615,645.0,262.0,644.0,648.0
124,620,644.0,253.0,652.0,648.0
125,625,651.0,317.0,644.0,637.0
126,630,641.0,240.0,652.0,652.0
127,635,647.0,251.0,649.0,643.0
128,640,637.0,274.0,658.0,651.0
129,645,650.0,236.0,661.0,644.0
130,650,658.0,309.0,648.0,645.0
131,655,649.0,235.0,658.0,646.0
132,660,643.0,275.0,646.0,648.0
133,665,643.0,261.0,650.0,638.0
134,670,645.0,255.0,639.0,642.0
135,675,649.0,311.0,650.0,649.0
136,680,647.0,225.0,664.0,646.0
137,685,650.0,261.0,644.0,648.0
138,690,654.0,273.0,649.0,647.0
139,695,637.0,240.0,657.0,641.0
140,700,649.0,317.0,633.0,644.0
141,705,643.0,237.0,657.0,646.0
142,710,644.0,256.0,639.0,650.0
143,715,641.0,263.0,635.0,645.0
144,720,635.0,248.0,642.0,642.0
145,725,650.0,291.0,653.0,641.0
146,730,646.0,245.0,649.0,647.0
147,735,646.0,271.0,651.0,640.0
148,740,654.0,284.0,650.0,645.0
149,745,641.0,239.0,647.0,645.0
150,750,645.0,321.0,637.0,666.0
151,755,645.0,232.0,649.0,647.0
152,760,647.0,262.0,639.0,637.0
153,765,646.0,262.0,653.0,644.0
154,770,642.0,198.0,656.0,652.0
155,775,648.0,299.0,642.0,639.0
156,780,651.0,244.0,657.0,644.0
157,785,644.0,267.0,641.0,637.0
158,790,643.0,270.0,647.0,651.0
159,795,642.0,230.0,639.0,634.0
160,800,645.0,329.0,650.0,647.0
161,805,643.0,232.0,659.0,650.0
162,810,637.0,270.0,647.0,644.0
163,815,638.0,260.0,646.0,648.0
164,820,654.0,213.0,646.0,666.0
165,825,642.0,311.0,648.0,651.0
166,830,648.0,221.0,628.0,646.0
167,835,646.0,292.0,647.0,652.0
168,840,650.0,293.0,666.0,646.0
169,845,650.0,246.0,640.0,644.0
170,850,649.0,311.0,643.0,643.0
171,855,652.0,236.0,643.0,633.0
172,860,648.0,294.0,649.0,642.0
173,865,652.0,258.0,642.0,647.0
174,870,648.0,257.0,648.0,647.0
175,875,640.0,312.0,646.0,651.0
176,880,650.0,238.0,648.0,650.0
177,885,646.0,266.0,654.0,645.0
178,890,654.0,268.0,644.0,654.0
179,895,645.0,257.0,658.0,639.0
180,900,646.0,297.0,631.0,636.0
181,905,646.0,243.0,650.0,645.0
182,910,646.0,274.0,640.0,646.0
183,915,649.0,274.0,626.0,644.0
184,920,645.0,257.0,640.0,637.0
185,925,637.0,293.0,647.0,643.0
186,930,650.0,240.0,649.0,631.0
187,935,646.0,267.0,652.0,643.0
188,940,644.0,270.0,647.0,649.0
189,945,641.0,244.0,645.0,649.0
190,950,654.0,314.0,647.0,653.0
191,955,648.0,251.0,652.0,639.0
192,960,649.0,285.0,662.0,634.0
193,965,652.0,264.0,643.0,638.0
194,970,646.0,261.0,651.0,657.0
195,975,647.0,303.0,636.0,651.0
196,980,653.0,246.0,647.0,641.0
197,985,647.0,276.0,636.0,643.0
198,990,653.0,265.0,643.0,642.0
199,995,638.0,263.0,656.0,636.0
